"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.96130019919613e-10,0.485430389496094,0.911,0.676,9.85512671568319e-06,"acupuncture","LOC100360791"
8.08955265956207e-10,0.654880096817815,1,0.991,1.60690874029541e-05,"acupuncture","Ccl2"
2.08160337667621e-09,1.04491009621332,0.672,0.383,4.13489694742963e-05,"acupuncture","Rcan1"
2.3787121201989e-09,0.558648414407166,0.961,0.883,4.7250737555631e-05,"acupuncture","Rpl37a-ps1"
4.86818154427095e-09,1.32884600389189,0.722,0.41,9.67015581953981e-05,"acupuncture","Col3a1"
7.62022412868691e-08,0.752744897756345,0.839,0.644,0.00151368132092237,"acupuncture","Nr4a2"
9.88815315738723e-08,0.714818523154104,0.306,0.104,0.0019641827431834,"acupuncture","Nid2"
1.12158537088664e-07,0.676081186883327,0.722,0.514,0.00222791718072922,"acupuncture","Ifi27"
7.29103737492688e-07,1.24455890053633,0.544,0.342,0.0144829166415547,"acupuncture","Dnaaf2"
1.09834213792261e-06,0.311657465770259,0.972,0.905,0.0218174682276947,"acupuncture","Tagln2"
3.61388517095143e-06,0.534274809461694,0.472,0.252,0.0717862150357791,"acupuncture","Osm"
3.92464115373863e-06,0.371638804617581,0.75,0.523,0.0779590718778642,"acupuncture","Lamp1"
4.66971685981504e-06,0.498685139418834,0.9,0.761,0.0927592557033659,"acupuncture","Nr4a1"
4.96999254677762e-06,0.603813807011585,1,0.973,0.0987239319491907,"acupuncture","Apoe"
5.20373776335905e-06,0.36604846516596,0.95,0.896,0.103367046931364,"acupuncture","Ftl1"
6.75975723775421e-06,0.379584547706285,0.911,0.739,0.13427581777075,"acupuncture","Rpl39.4"
7.72339549896803e-06,0.884841794832519,0.489,0.288,0.153417528191501,"acupuncture","RT1-Db1"
8.5071469240134e-06,0.665308935789754,0.261,0.095,0.168985966498602,"acupuncture","ENSRNOG00000068039"
9.33972910932359e-06,0.462036556541272,0.756,0.581,0.185524379027604,"acupuncture","Ppial4d.1"
1.48235290428644e-05,0.667274814899065,0.378,0.189,0.294454580907459,"acupuncture","Lyz2"
2.20206250269716e-05,0.599960287407655,0.717,0.568,0.437417695535764,"acupuncture","Gpr35"
2.25808507294554e-05,0.888227037098348,0.367,0.189,0.448546018889903,"acupuncture","Lgals1"
2.4160674696265e-05,1.0020452460957,0.517,0.311,0.479927642166608,"acupuncture","Col1a1"
2.60709778554879e-05,0.419575594595526,0.967,0.959,0.517873904121412,"acupuncture","Jun"
3.48366310830573e-05,0.481782373407838,0.922,0.865,0.691994839833849,"acupuncture","Pf4"
4.54730853670409e-05,0.367206619061644,0.361,0.185,0.903277367730901,"acupuncture","ENSRNOG00000064200"
5.01920133441449e-05,0.525544493314913,0.733,0.577,0.997014153068094,"acupuncture","Myadm"
5.12171473009119e-05,0.644389146603012,0.65,0.486,1,"acupuncture","Ttc39b"
5.16906865040372e-05,0.427994888842783,0.45,0.257,1,"acupuncture","Prnp"
5.6388165387972e-05,0.422404126672087,0.661,0.477,1,"acupuncture","Psmb8"
6.04246526310844e-05,0.911343178551037,0.678,0.486,1,"acupuncture","Hspa1b"
6.06023545736505e-05,0.354075725267411,0.617,0.419,1,"acupuncture","Selenow"
6.57505397513762e-05,0.677023336558291,0.383,0.203,1,"acupuncture","Fn1"
7.62565982905649e-05,0.462340486202705,0.928,0.838,1,"acupuncture","Gch1"
9.58992251635085e-05,0.717589953970661,0.289,0.126,1,"acupuncture","Dpt"
0.000103071910315159,0.384527357061935,0.472,0.284,1,"acupuncture","Eif4g1"
0.000111632485551829,0.292430713952196,0.983,0.995,1,"acupuncture","Crip1"
0.000133314796001615,0.358150455723612,0.983,0.964,1,"acupuncture","Junb"
0.00014633560729676,0.514379434524497,0.439,0.27,1,"acupuncture","Egr3"
0.000154390188388032,0.407493958036407,0.694,0.527,1,"acupuncture","Tpm4"
